Ativo,Data,Intervalo,Volume
BTCUSDT,2025-05-01 11:00:00,1h,1865.7971
BTCUSDT,2025-05-01 12:00:00,1h,787.87727
BTCUSDT,2025-05-01 13:00:00,1h,822.173
BTCUSDT,2025-05-01 14:00:00,1h,1740.4931
BTCUSDT,2025-05-01 15:00:00,1h,2767.87823
BTCUSDT,2025-05-01 16:00:00,1h,2068.94782
BTCUSDT,2025-05-01 17:00:00,1h,960.27808
BTCUSDT,2025-05-01 18:00:00,1h,775.85599
BTCUSDT,2025-05-01 19:00:00,1h,745.78922
BTCUSDT,2025-05-01 20:00:00,1h,718.87913
BTCUSDT,2025-05-01 21:00:00,1h,818.39622
BTCUSDT,2025-05-01 22:00:00,1h,292.34865
BTCUSDT,2025-05-01 23:00:00,1h,304.90158
BTCUSDT,2025-05-02 00:00:00,1h,369.63988
BTCUSDT,2025-05-02 01:00:00,1h,683.12997
BTCUSDT,2025-05-02 02:00:00,1h,566.90548
BTCUSDT,2025-05-02 03:00:00,1h,449.57315
BTCUSDT,2025-05-02 04:00:00,1h,434.57258
BTCUSDT,2025-05-02 05:00:00,1h,579.01103
BTCUSDT,2025-05-02 06:00:00,1h,534.68119
BTCUSDT,2025-05-02 07:00:00,1h,383.92171
BTCUSDT,2025-05-02 08:00:00,1h,935.27663
BTCUSDT,2025-05-02 09:00:00,1h,508.11116
BTCUSDT,2025-05-02 10:00:00,1h,417.01278
BTCUSDT,2025-05-02 11:00:00,1h,367.39386
BTCUSDT,2025-05-02 12:00:00,1h,567.753
BTCUSDT,2025-05-02 13:00:00,1h,893.40406
BTCUSDT,2025-05-02 14:00:00,1h,1075.20432
BTCUSDT,2025-05-02 15:00:00,1h,2123.6506
BTCUSDT,2025-05-02 16:00:00,1h,954.92275
BTCUSDT,2025-05-02 17:00:00,1h,848.97951
BTCUSDT,2025-05-02 18:00:00,1h,507.605
BTCUSDT,2025-05-02 19:00:00,1h,376.68171
BTCUSDT,2025-05-02 20:00:00,1h,599.44153
BTCUSDT,2025-05-02 21:00:00,1h,243.50865
BTCUSDT,2025-05-02 22:00:00,1h,258.87096
BTCUSDT,2025-05-02 23:00:00,1h,352.15656
BTCUSDT,2025-05-03 00:00:00,1h,243.97992
BTCUSDT,2025-05-03 01:00:00,1h,559.13625
BTCUSDT,2025-05-03 02:00:00,1h,462.40221
BTCUSDT,2025-05-03 03:00:00,1h,275.57053
BTCUSDT,2025-05-03 04:00:00,1h,761.61563
BTCUSDT,2025-05-03 05:00:00,1h,252.68819
BTCUSDT,2025-05-03 06:00:00,1h,306.91209
BTCUSDT,2025-05-03 07:00:00,1h,539.08747
BTCUSDT,2025-05-03 08:00:00,1h,410.18653
BTCUSDT,2025-05-03 09:00:00,1h,599.65552
BTCUSDT,2025-05-03 10:00:00,1h,318.86883
BTCUSDT,2025-05-03 11:00:00,1h,1141.24134
BTCUSDT,2025-05-03 12:00:00,1h,562.672
BTCUSDT,2025-05-03 13:00:00,1h,608.21922
BTCUSDT,2025-05-03 14:00:00,1h,346.99789
BTCUSDT,2025-05-03 15:00:00,1h,304.05512
BTCUSDT,2025-05-03 16:00:00,1h,188.69143
BTCUSDT,2025-05-03 17:00:00,1h,306.55723
BTCUSDT,2025-05-03 18:00:00,1h,350.19773
BTCUSDT,2025-05-03 19:00:00,1h,126.74718
BTCUSDT,2025-05-03 20:00:00,1h,116.44402
BTCUSDT,2025-05-03 21:00:00,1h,104.27579
BTCUSDT,2025-05-03 22:00:00,1h,190.04681
BTCUSDT,2025-05-03 23:00:00,1h,201.41291
BTCUSDT,2025-05-04 00:00:00,1h,689.66646
BTCUSDT,2025-05-04 01:00:00,1h,325.63422
