Ativo,Data,Intervalo,Volume
BTCUSDT,2025-05-03 05:46:00,1m,3.42854
BTCUSDT,2025-05-03 05:47:00,1m,1.61897
BTCUSDT,2025-05-03 05:48:00,1m,1.96209
BTCUSDT,2025-05-03 05:49:00,1m,0.36398
BTCUSDT,2025-05-03 05:50:00,1m,1.57238
BTCUSDT,2025-05-03 05:51:00,1m,9.81272
BTCUSDT,2025-05-03 05:52:00,1m,6.1179
BTCUSDT,2025-05-03 05:53:00,1m,2.07764
BTCUSDT,2025-05-03 05:54:00,1m,2.86341
BTCUSDT,2025-05-03 05:55:00,1m,3.94053
BTCUSDT,2025-05-03 05:56:00,1m,0.54764
BTCUSDT,2025-05-03 05:57:00,1m,0.85964
BTCUSDT,2025-05-03 05:58:00,1m,1.74999
BTCUSDT,2025-05-03 05:59:00,1m,1.17775
BTCUSDT,2025-05-03 06:00:00,1m,0.74876
BTCUSDT,2025-05-03 06:01:00,1m,0.89524
BTCUSDT,2025-05-03 06:02:00,1m,0.36415
BTCUSDT,2025-05-03 06:03:00,1m,0.27008
BTCUSDT,2025-05-03 06:04:00,1m,6.69821
BTCUSDT,2025-05-03 06:05:00,1m,0.34781
BTCUSDT,2025-05-03 06:06:00,1m,2.54608
BTCUSDT,2025-05-03 06:07:00,1m,2.43417
BTCUSDT,2025-05-03 06:08:00,1m,3.17127
BTCUSDT,2025-05-03 06:09:00,1m,2.16698
BTCUSDT,2025-05-03 06:10:00,1m,3.97638
BTCUSDT,2025-05-03 06:11:00,1m,6.9737
BTCUSDT,2025-05-03 06:12:00,1m,4.3614
BTCUSDT,2025-05-03 06:13:00,1m,3.07669
BTCUSDT,2025-05-03 06:14:00,1m,2.29972
BTCUSDT,2025-05-03 06:15:00,1m,10.34217
BTCUSDT,2025-05-03 06:16:00,1m,3.39099
BTCUSDT,2025-05-03 06:17:00,1m,8.61404
BTCUSDT,2025-05-03 06:18:00,1m,8.32029
BTCUSDT,2025-05-03 06:19:00,1m,1.22871
BTCUSDT,2025-05-03 06:20:00,1m,0.75233
BTCUSDT,2025-05-03 06:21:00,1m,3.99416
BTCUSDT,2025-05-03 06:22:00,1m,0.94409
BTCUSDT,2025-05-03 06:23:00,1m,17.68868
BTCUSDT,2025-05-03 06:24:00,1m,0.33582
BTCUSDT,2025-05-03 06:25:00,1m,1.23739
BTCUSDT,2025-05-03 06:26:00,1m,2.65039
BTCUSDT,2025-05-03 06:27:00,1m,2.51928
BTCUSDT,2025-05-03 06:28:00,1m,1.48786
BTCUSDT,2025-05-03 06:29:00,1m,0.98695
BTCUSDT,2025-05-03 06:30:00,1m,2.96662
BTCUSDT,2025-05-03 06:31:00,1m,0.46693
BTCUSDT,2025-05-03 06:32:00,1m,0.60338
BTCUSDT,2025-05-03 06:33:00,1m,14.42793
BTCUSDT,2025-05-03 06:34:00,1m,2.13104
BTCUSDT,2025-05-03 06:35:00,1m,2.39026
BTCUSDT,2025-05-03 06:36:00,1m,0.65435
BTCUSDT,2025-05-03 06:37:00,1m,4.19192
BTCUSDT,2025-05-03 06:38:00,1m,4.56995
BTCUSDT,2025-05-03 06:39:00,1m,3.96865
BTCUSDT,2025-05-03 06:40:00,1m,2.67492
BTCUSDT,2025-05-03 06:41:00,1m,25.15317
BTCUSDT,2025-05-03 06:42:00,1m,4.69423
BTCUSDT,2025-05-03 06:43:00,1m,0.89144
BTCUSDT,2025-05-03 06:44:00,1m,1.71755
BTCUSDT,2025-05-03 06:45:00,1m,4.72856
BTCUSDT,2025-05-03 06:46:00,1m,0.82682
BTCUSDT,2025-05-03 06:47:00,1m,14.83876
BTCUSDT,2025-05-03 06:48:00,1m,4.71088
BTCUSDT,2025-05-03 06:49:00,1m,3.50494
BTCUSDT,2025-05-03 06:50:00,1m,4.6191
BTCUSDT,2025-05-03 06:51:00,1m,7.99836
BTCUSDT,2025-05-03 06:52:00,1m,27.1195
BTCUSDT,2025-05-03 06:53:00,1m,30.71897
BTCUSDT,2025-05-03 06:54:00,1m,3.50999
BTCUSDT,2025-05-03 06:55:00,1m,3.26824
BTCUSDT,2025-05-03 06:56:00,1m,8.34887
BTCUSDT,2025-05-03 06:57:00,1m,10.7019
BTCUSDT,2025-05-03 06:58:00,1m,2.10492
BTCUSDT,2025-05-03 06:59:00,1m,3.58615
BTCUSDT,2025-05-03 07:00:00,1m,4.768
BTCUSDT,2025-05-03 07:01:00,1m,8.29653
BTCUSDT,2025-05-03 07:02:00,1m,8.92905
BTCUSDT,2025-05-03 07:03:00,1m,4.1455
BTCUSDT,2025-05-03 07:04:00,1m,4.25584
BTCUSDT,2025-05-03 07:05:00,1m,3.65707
BTCUSDT,2025-05-03 07:06:00,1m,2.94102
BTCUSDT,2025-05-03 07:07:00,1m,9.24192
BTCUSDT,2025-05-03 07:08:00,1m,9.52791
BTCUSDT,2025-05-03 07:09:00,1m,5.09678
BTCUSDT,2025-05-03 07:10:00,1m,6.55871
BTCUSDT,2025-05-03 07:11:00,1m,5.22718
BTCUSDT,2025-05-03 07:12:00,1m,2.33337
BTCUSDT,2025-05-03 07:13:00,1m,7.89761
BTCUSDT,2025-05-03 07:14:00,1m,25.58454
BTCUSDT,2025-05-03 07:15:00,1m,4.0919
BTCUSDT,2025-05-03 07:16:00,1m,4.6339
BTCUSDT,2025-05-03 07:17:00,1m,2.29206
BTCUSDT,2025-05-03 07:18:00,1m,41.19194
BTCUSDT,2025-05-03 07:19:00,1m,6.83259
BTCUSDT,2025-05-03 07:20:00,1m,8.16038
BTCUSDT,2025-05-03 07:21:00,1m,4.34441
BTCUSDT,2025-05-03 07:22:00,1m,1.45165
BTCUSDT,2025-05-03 07:23:00,1m,6.10303
BTCUSDT,2025-05-03 07:24:00,1m,7.00327
BTCUSDT,2025-05-03 07:25:00,1m,4.8581
BTCUSDT,2025-05-03 07:26:00,1m,7.51595
BTCUSDT,2025-05-03 07:27:00,1m,5.31645
BTCUSDT,2025-05-03 07:28:00,1m,2.29855
BTCUSDT,2025-05-03 07:29:00,1m,71.03171
BTCUSDT,2025-05-03 07:30:00,1m,26.40597
BTCUSDT,2025-05-03 07:31:00,1m,6.91964
BTCUSDT,2025-05-03 07:32:00,1m,4.57187
BTCUSDT,2025-05-03 07:33:00,1m,6.1969
BTCUSDT,2025-05-03 07:34:00,1m,11.85828
BTCUSDT,2025-05-03 07:35:00,1m,4.57974
BTCUSDT,2025-05-03 07:36:00,1m,6.56944
BTCUSDT,2025-05-03 07:37:00,1m,8.38352
BTCUSDT,2025-05-03 07:38:00,1m,5.68812
BTCUSDT,2025-05-03 07:39:00,1m,3.71362
BTCUSDT,2025-05-03 07:40:00,1m,16.36209
BTCUSDT,2025-05-03 07:41:00,1m,6.93262
BTCUSDT,2025-05-03 07:42:00,1m,2.63599
BTCUSDT,2025-05-03 07:43:00,1m,2.5577
BTCUSDT,2025-05-03 07:44:00,1m,1.49151
BTCUSDT,2025-05-03 07:45:00,1m,4.00212
BTCUSDT,2025-05-03 07:46:00,1m,6.2402
BTCUSDT,2025-05-03 07:47:00,1m,8.73233
BTCUSDT,2025-05-03 07:48:00,1m,4.42515
BTCUSDT,2025-05-03 07:49:00,1m,9.10434
BTCUSDT,2025-05-03 07:50:00,1m,29.31863
BTCUSDT,2025-05-03 07:51:00,1m,18.9223
BTCUSDT,2025-05-03 07:52:00,1m,8.83396
BTCUSDT,2025-05-03 07:53:00,1m,4.02663
BTCUSDT,2025-05-03 07:54:00,1m,9.94232
BTCUSDT,2025-05-03 07:55:00,1m,11.23382
BTCUSDT,2025-05-03 07:56:00,1m,2.58718
BTCUSDT,2025-05-03 07:57:00,1m,3.50097
BTCUSDT,2025-05-03 07:58:00,1m,10.19919
